,Timestamp,Motion_detection
643,2024-10-31 11:17:43,1
644,2024-10-31 11:18:55,0
645,2024-10-31 11:19:03,1
646,2024-10-31 11:20:16,0
647,2024-10-31 11:20:48,1
648,2024-10-31 11:22:01,0
649,2024-10-31 11:26:18,1
650,2024-10-31 11:28:05,0
651,2024-10-31 11:28:10,1
652,2024-10-31 11:29:56,0
653,2024-10-31 11:30:12,1
654,2024-10-31 11:31:24,0
655,2024-10-31 11:31:32,1
656,2024-10-31 11:32:44,0
657,2024-10-31 11:33:06,1
658,2024-10-31 11:34:18,0
659,2024-10-31 11:34:39,1
660,2024-10-31 11:35:51,0
661,2024-10-31 11:38:17,1
662,2024-10-31 11:39:30,0
663,2024-10-31 12:06:49,1
664,2024-10-31 12:08:01,0
665,2024-10-31 12:08:35,1
666,2024-10-31 12:09:47,0
667,2024-10-31 12:18:51,1
668,2024-10-31 12:20:04,0
669,2024-10-31 12:41:45,1
670,2024-10-31 12:43:48,0
671,2024-10-31 12:43:53,1
672,2024-10-31 12:45:05,0
673,2024-10-31 12:45:30,1
674,2024-10-31 12:46:43,0
675,2024-10-31 12:47:46,1
676,2024-10-31 12:48:58,0
677,2024-10-31 12:49:36,1
678,2024-10-31 12:51:57,0
679,2024-10-31 12:54:20,1
680,2024-10-31 12:57:15,0
681,2024-10-31 12:57:37,1
682,2024-10-31 12:59:40,0
683,2024-10-31 12:59:53,1
684,2024-10-31 13:01:22,0
685,2024-10-31 13:01:27,1
686,2024-10-31 13:05:14,0
687,2024-10-31 13:05:55,1
688,2024-10-31 13:07:07,0
689,2024-10-31 13:10:13,1
690,2024-10-31 13:12:17,0
691,2024-10-31 13:43:10,1
692,2024-10-31 13:44:22,0
693,2024-10-31 14:03:57,1
694,2024-10-31 14:05:09,0
695,2024-10-31 14:08:07,1
696,2024-10-31 14:09:37,0
697,2024-10-31 15:20:38,1
698,2024-10-31 15:21:50,0
699,2024-10-31 15:56:05,1
700,2024-10-31 15:57:18,0
701,2024-10-31 16:11:19,1
702,2024-10-31 16:12:31,0
703,2024-10-31 17:50:24,1
704,2024-10-31 17:51:54,0
705,2024-10-31 17:52:13,1
706,2024-10-31 17:53:26,0
707,2024-10-31 17:54:41,1
708,2024-10-31 17:56:13,0
709,2024-10-31 19:49:24,1
710,2024-10-31 19:50:36,0
