,timestamp,car_no,truck_no,bus_no,motorcycle_no
5587,2024-11-02 09:53:55,1,0,0,0
5588,2024-11-02 09:54:28,0,1,0,0
5589,2024-11-02 09:57:18,0,1,0,0
5590,2024-11-02 09:58:20,0,1,0,0
5591,2024-11-02 09:58:37,0,1,0,0
5592,2024-11-02 10:03:26,1,0,0,0
5593,2024-11-02 10:08:59,1,0,0,0
5594,2024-11-02 10:10:39,0,1,0,0
5595,2024-11-02 10:19:12,0,1,0,0
5596,2024-11-02 10:19:30,0,1,0,0
5597,2024-11-02 10:20:22,1,0,0,0
5598,2024-11-02 10:24:36,0,0,1,0
5599,2024-11-02 10:25:54,0,0,1,0
5600,2024-11-02 10:29:53,1,0,0,0
5601,2024-11-02 10:36:42,0,1,0,0
5602,2024-11-02 10:36:46,0,1,0,0
5603,2024-11-02 10:37:06,0,0,1,0
5604,2024-11-02 10:37:24,0,1,0,0
5605,2024-11-02 10:57:40,0,1,0,0
5606,2024-11-02 10:58:07,1,0,0,0
5607,2024-11-02 10:59:13,1,0,0,0
5608,2024-11-02 11:08:08,1,0,0,0
5609,2024-11-02 11:09:40,1,0,0,0
5610,2024-11-02 11:09:56,0,0,1,0
5611,2024-11-02 11:16:56,1,0,0,0
5612,2024-11-02 11:22:48,1,0,0,0
5613,2024-11-02 11:29:07,1,0,0,0
5614,2024-11-02 11:29:32,1,0,0,0
5615,2024-11-02 11:29:52,1,0,0,0
5616,2024-11-02 11:31:44,1,0,0,0
5617,2024-11-02 11:33:32,1,0,0,0
5618,2024-11-02 11:33:53,0,1,0,0
5619,2024-11-02 11:41:47,1,0,0,0
5620,2024-11-02 11:51:56,1,0,0,0
5621,2024-11-02 11:52:06,1,0,0,0
5622,2024-11-02 12:01:28,0,1,0,0
5623,2024-11-02 12:02:50,1,0,0,0
5624,2024-11-02 12:05:27,0,1,0,0
5625,2024-11-02 12:05:42,0,1,0,0
5626,2024-11-02 12:09:23,0,1,0,0
5627,2024-11-02 12:09:41,0,1,0,0
5628,2024-11-02 12:10:17,1,0,0,0
5629,2024-11-02 12:11:20,0,1,0,0
5630,2024-11-02 12:11:40,0,1,0,0
5631,2024-11-02 12:13:17,1,0,0,0
5632,2024-11-02 12:13:29,0,1,0,0
5633,2024-11-02 12:14:00,0,1,0,0
5634,2024-11-02 12:16:44,1,0,0,0
5635,2024-11-02 12:18:12,1,0,0,0
5636,2024-11-02 12:23:35,1,0,0,0
5637,2024-11-02 12:25:10,1,0,0,0
